text,label
"Dear John, could you review the code in repo and push the changes by EOD? Thanks. Please advise",ham
reset your password now: http://bit.ly/verify This link will expire in 24 hours. do not ignore,phishing
Can someone help with access to the analytics dashboard? I'm getting a permission error. See below,ham
Security Alert: New login from unknown device. Verify here: http://bit.ly/verify. Please respond,phishing
"Hi team, please find the attached quarterly sales report and let me know your feedback. Please advise",ham
Security Alert: New login from unknown device. Verify here: http://bit.ly/verify. ASAP,phishing
"Hi team, please find the attached quarterly sales report and let me know your feedback. See below",ham
Can someone help with access to the analytics dashboard? I'm getting a permission error. Please advise,ham
Important Notice: Your mailbox has exceeded quota. Click http://secure-pay.example.com to increase limit. Please respond,phishing
Lunch tomorrow at 1? Meeting moved to conference room B. - Alice Regards,ham
Can someone help with access to the analytics dashboard? I'm getting a permission error. Please advise,ham
Security Alert: New login from unknown device. Verify here: http://bit.ly/verify. ASAP,phishing
Congratulations! You've won a prize. Claim now at http://bit.ly/verify by entering your details. ,phishing
FYI: the server upgrade is scheduled for Saturday. Downtime expected: 2 hours. Thanks,ham
Please see the minutes from today's meeting and action items for next week. Thanks,ham
Important Notice: Your mailbox has exceeded quota. Click http://secure-pay.example.com to increase limit. do not ignore,phishing
"Dear User, We detected suspicious activity on your account. Please login immediately at http://bit.ly/verify. ",phishing
Security Alert: New login from unknown device. Verify here: http://bit.ly/verify. Please respond,phishing
"Dear John, could you review the code in repo and push the changes by EOD? Thanks. Regards",ham
"Dear John, could you review the code in repo and push the changes by EOD? Thanks. See below",ham
Congratulations! You've won a prize. Claim now at http://bit.ly/verify by entering your details. ASAP,phishing
reset your password now: http://bit.ly/verify This link will expire in 24 hours. ASAP,phishing
Bank Notice: We noticed unusual transactions. Verify your account now at http://secure-pay.example.com. ,phishing
Can someone help with access to the analytics dashboard? I'm getting a permission error. Thanks,ham
"Hi team, please find the attached quarterly sales report and let me know your feedback. Thanks",ham
Lunch tomorrow at 1? Meeting moved to conference room B. - Alice Thanks,ham
Lunch tomorrow at 1? Meeting moved to conference room B. - Alice Please advise,ham
Lunch tomorrow at 1? Meeting moved to conference room B. - Alice See below,ham
"Dear Member, We detected suspicious activity on your account. Please login immediately at http://bit.ly/verify. ASAP",phishing
Can someone help with access to the analytics dashboard? I'm getting a permission error. Regards,ham
Important Notice: Your mailbox has exceeded quota. Click http://secure-pay.example.com to increase limit. ,phishing
Lunch tomorrow at 1? Meeting moved to conference room B. - Alice Regards,ham
"Dear User, We detected suspicious activity on your account. Please login immediately at http://bit.ly/verify. do not ignore",phishing
Please see the minutes from today's meeting and action items for next week. Please advise,ham
Important Notice: Your mailbox has exceeded quota. Click http://secure-pay.example.com to increase limit. ASAP,phishing
Security Alert: New login from unknown device. Verify here: http://bit.ly/verify. ,phishing
Please see the minutes from today's meeting and action items for next week. See below,ham
